Term,RawFrequency,RelativeFrequency,ZScore,ZScoreRatio
micle,7,404.0171,0.32035077,-1.9286267
modes,7,404.0171,0.32035077,-1.9286267
moston,7,404.0171,0.32035077,-1.9286267
mærða,7,404.0171,0.32035077,-1.9286267
nolde,7,404.0171,0.32035077,-1.9286267
onfand,7,404.0171,0.32035077,-1.9286267
oþðe,7,404.0171,0.32035077,-1.9286267
sceall,7,404.0171,0.32035077,-1.9286267
side,7,404.0171,0.32035077,-1.9286267
sinc,7,404.0171,0.32035077,-1.9286267
soð,7,404.0171,0.32035077,-1.9286267
suna,7,404.0171,0.32035077,-1.9286267
sund,7,404.0171,0.32035077,-1.9286267
swiðe,7,404.0171,0.32035077,-1.9286267
sæ,7,404.0171,0.32035077,-1.9286267
sæl,7,404.0171,0.32035077,-1.9286267
tela,7,404.0171,0.32035077,-1.9286267
weg,7,404.0171,0.32035077,-1.9286267
weold,7,404.0171,0.32035077,-1.9286267
wintra,7,404.0171,0.32035077,-1.9286267
wolcnum,7,404.0171,0.32035077,-1.9286267
worn,7,404.0171,0.32035077,-1.9286267
wræc,7,404.0171,0.32035077,-1.9286267
wæg,7,404.0171,0.32035077,-1.9286267
yrre,7,404.0171,0.32035077,-1.9286267
æfre,7,404.0171,0.32035077,-1.9286267
ærest,7,404.0171,0.32035077,-1.9286267
ætgædere,7,404.0171,0.32035077,-1.9286267
ðæm,7,404.0171,0.32035077,-1.9286267
þearfe,7,404.0171,0.32035077,-1.9286267
anum,6,346.30035,0.23927513,-1.4405222
aras,6,346.30035,0.23927513,-1.4405222
beorge,6,346.30035,0.23927513,-1.4405222
buton,6,346.30035,0.23927513,-1.4405222
cuðe,6,346.30035,0.23927513,-1.4405222
cuþe,6,346.30035,0.23927513,-1.4405222
dryhtne,6,346.30035,0.23927513,-1.4405222
duguðe,6,346.30035,0.23927513,-1.4405222
dæda,6,346.30035,0.23927513,-1.4405222
ealde,6,346.30035,0.23927513,-1.4405222
earfoðlice,6,346.30035,0.23927513,-1.4405222
eaxle,6,346.30035,0.23927513,-1.4405222
eorþan,6,346.30035,0.23927513,-1.4405222
eow,6,346.30035,0.23927513,-1.4405222
feore,6,346.30035,0.23927513,-1.4405222
feran,6,346.30035,0.23927513,-1.4405222
folce,6,346.30035,0.23927513,-1.4405222
foldan,6,346.30035,0.23927513,-1.4405222
frætwe,6,346.30035,0.23927513,-1.4405222
fus,6,346.30035,0.23927513,-1.4405222
gearo,6,346.30035,0.23927513,-1.4405222
gebolgen,6,346.30035,0.23927513,-1.4405222
geongum,6,346.30035,0.23927513,-1.4405222
gesohte,6,346.30035,0.23927513,-1.4405222
gesyne,6,346.30035,0.23927513,-1.4405222
godes,6,346.30035,0.23927513,-1.4405222
gomela,6,346.30035,0.23927513,-1.4405222
grim,6,346.30035,0.23927513,-1.4405222
gyf,6,346.30035,0.23927513,-1.4405222
hearde,6,346.30035,0.23927513,-1.4405222
helpe,6,346.30035,0.23927513,-1.4405222
hild,6,346.30035,0.23927513,-1.4405222
hildedeor,6,346.30035,0.23927513,-1.4405222
holm,6,346.30035,0.23927513,-1.4405222
horde,6,346.30035,0.23927513,-1.4405222
hordweard,6,346.30035,0.23927513,-1.4405222
hraðe,6,346.30035,0.23927513,-1.4405222
hraþe,6,346.30035,0.23927513,-1.4405222
hroðgare,6,346.30035,0.23927513,-1.4405222
lað,6,346.30035,0.23927513,-1.4405222
lean,6,346.30035,0.23927513,-1.4405222
leng,6,346.30035,0.23927513,-1.4405222
lice,6,346.30035,0.23927513,-1.4405222
longe,6,346.30035,0.23927513,-1.4405222
manig,6,346.30035,0.23927513,-1.4405222
maran,6,346.30035,0.23927513,-1.4405222
maðmas,6,346.30035,0.23927513,-1.4405222
mihtig,6,346.30035,0.23927513,-1.4405222
nænig,6,346.30035,0.23927513,-1.4405222
onfeng,6,346.30035,0.23927513,-1.4405222
ræd,6,346.30035,0.23927513,-1.4405222
ræste,6,346.30035,0.23927513,-1.4405222
samod,6,346.30035,0.23927513,-1.4405222
sande,6,346.30035,0.23927513,-1.4405222
sceawian,6,346.30035,0.23927513,-1.4405222
scoldon,6,346.30035,0.23927513,-1.4405222
secan,6,346.30035,0.23927513,-1.4405222
sefan,6,346.30035,0.23927513,-1.4405222
selestan,6,346.30035,0.23927513,-1.4405222
seon,6,346.30035,0.23927513,-1.4405222
sloh,6,346.30035,0.23927513,-1.4405222
snude,6,346.30035,0.23927513,-1.4405222
somod,6,346.30035,0.23927513,-1.4405222
swealt,6,346.30035,0.23927513,-1.4405222
sweg,6,346.30035,0.23927513,-1.4405222
sweorde,6,346.30035,0.23927513,-1.4405222
unc,6,346.30035,0.23927513,-1.4405222
waldend,6,346.30035,0.23927513,-1.4405222
wealdan,6,346.30035,0.23927513,-1.4405222
wean,6,346.30035,0.23927513,-1.4405222
wene,6,346.30035,0.23927513,-1.4405222
wesan,6,346.30035,0.23927513,-1.4405222
wiglaf,6,346.30035,0.23927513,-1.4405222
wisse,6,346.30035,0.23927513,-1.4405222
wiste,6,346.30035,0.23927513,-1.4405222
wudu,6,346.30035,0.23927513,-1.4405222
wynne,6,346.30035,0.23927513,-1.4405222
wæpen,6,346.30035,0.23927513,-1.4405222
ænige,6,346.30035,0.23927513,-1.4405222
ðara,6,346.30035,0.23927513,-1.4405222
þec,6,346.30035,0.23927513,-1.4405222
þegna,6,346.30035,0.23927513,-1.4405222
þon,6,346.30035,0.23927513,-1.4405222
þonan,6,346.30035,0.23927513,-1.4405222
aglæca,5,288.58362,0.1581995,-0.9524178
aglæcean,5,288.58362,0.1581995,-0.9524178
ahte,5,288.58362,0.1581995,-0.9524178
aldor,5,288.58362,0.1581995,-0.9524178
anes,5,288.58362,0.1581995,-0.9524178
anne,5,288.58362,0.1581995,-0.9524178
beaga,5,288.58362,0.1581995,-0.9524178
beorges,5,288.58362,0.1581995,-0.9524178
beorhte,5,288.58362,0.1581995,-0.9524178
beorn,5,288.58362,0.1581995,-0.9524178
beowulfes,5,288.58362,0.1581995,-0.9524178
bewunden,5,288.58362,0.1581995,-0.9524178
bi,5,288.58362,0.1581995,-0.9524178
bidan,5,288.58362,0.1581995,-0.9524178
brucan,5,288.58362,0.1581995,-0.9524178
bræc,5,288.58362,0.1581995,-0.9524178
byrne,5,288.58362,0.1581995,-0.9524178
bæd,5,288.58362,0.1581995,-0.9524178
cempa,5,288.58362,0.1581995,-0.9524178
cempan,5,288.58362,0.1581995,-0.9524178
cuð,5,288.58362,0.1581995,-0.9524178
cynne,5,288.58362,0.1581995,-0.9524178
cyst,5,288.58362,0.1581995,-0.9524178
denigea,5,288.58362,0.1581995,-0.9524178
dracan,5,288.58362,0.1581995,-0.9524178
drugon,5,288.58362,0.1581995,-0.9524178
dydon,5,288.58362,0.1581995,-0.9524178
dæges,5,288.58362,0.1581995,-0.9524178
eac,5,288.58362,0.1581995,-0.9524178
ealles,5,288.58362,0.1581995,-0.9524178
ecge,5,288.58362,0.1581995,-0.9524178
ellenweorc,5,288.58362,0.1581995,-0.9524178
eorlscipe,5,288.58362,0.1581995,-0.9524178
eorlum,5,288.58362,0.1581995,-0.9524178
eotena,5,288.58362,0.1581995,-0.9524178
eower,5,288.58362,0.1581995,-0.9524178
fand,5,288.58362,0.1581995,-0.9524178
faran,5,288.58362,0.1581995,-0.9524178
forgeald,5,288.58362,0.1581995,-0.9524178
fremman,5,288.58362,0.1581995,-0.9524178
fyr,5,288.58362,0.1581995,-0.9524178
fyrene,5,288.58362,0.1581995,-0.9524178
fyrst,5,288.58362,0.1581995,-0.9524178
fæge,5,288.58362,0.1581995,-0.9524178
gang,5,288.58362,0.1581995,-0.9524178
geatolic,5,288.58362,0.1581995,-0.9524178
geatum,5,288.58362,0.1581995,-0.9524178
gebidan,5,288.58362,0.1581995,-0.9524178
gegongen,5,288.58362,0.1581995,-0.9524178
gemæne,5,288.58362,0.1581995,-0.9524178
geweorc,5,288.58362,0.1581995,-0.9524178
gewin,5,288.58362,0.1581995,-0.9524178
gewræc,5,288.58362,0.1581995,-0.9524178
gewyrcean,5,288.58362,0.1581995,-0.9524178
goldwine,5,288.58362,0.1581995,-0.9524178
gongan,5,288.58362,0.1581995,-0.9524178
guðcyning,5,288.58362,0.1581995,-0.9524178
hafast,5,288.58362,0.1581995,-0.9524178
haten,5,288.58362,0.1581995,-0.9524178
hearpan,5,288.58362,0.1581995,-0.9524178
helle,5,288.58362,0.1581995,-0.9524178
heorot,5,288.58362,0.1581995,-0.9524178
hlaford,5,288.58362,0.1581995,-0.9524178
hrusan,5,288.58362,0.1581995,-0.9524178
hwate,5,288.58362,0.1581995,-0.9524178
hwylc,5,288.58362,0.1581995,-0.9524178
hwæðre,5,288.58362,0.1581995,-0.9524178
hygelac,5,288.58362,0.1581995,-0.9524178
hæle,5,288.58362,0.1581995,-0.9524178
hæleða,5,288.58362,0.1581995,-0.9524178
hæleðum,5,288.58362,0.1581995,-0.9524178
ides,5,288.58362,0.1581995,-0.9524178
leofes,5,288.58362,0.1581995,-0.9524178
leoht,5,288.58362,0.1581995,-0.9524178
lond,5,288.58362,0.1581995,-0.9524178
lungre,5,288.58362,0.1581995,-0.9524178
madmas,5,288.58362,0.1581995,-0.9524178
mannan,5,288.58362,0.1581995,-0.9524178
maðma,5,288.58362,0.1581995,-0.9524178
mere,5,288.58362,0.1581995,-0.9524178
modig,5,288.58362,0.1581995,-0.9524178
monegum,5,288.58362,0.1581995,-0.9524178
mundgripe,5,288.58362,0.1581995,-0.9524178
mundum,5,288.58362,0.1581995,-0.9524178
mæges,5,288.58362,0.1581995,-0.9524178
mægþa,5,288.58362,0.1581995,-0.9524178
mærum,5,288.58362,0.1581995,-0.9524178
mæste,5,288.58362,0.1581995,-0.9524178
nefne,5,288.58362,0.1581995,-0.9524178
neosan,5,288.58362,0.1581995,-0.9524178
nis,5,288.58362,0.1581995,-0.9524178
onfunde,5,288.58362,0.1581995,-0.9524178
rices,5,288.58362,0.1581995,-0.9524178
rihte,5,288.58362,0.1581995,-0.9524178
rinc,5,288.58362,0.1581995,-0.9524178
sang,5,288.58362,0.1581995,-0.9524178
sare,5,288.58362,0.1581995,-0.9524178
scyld,5,288.58362,0.1581995,-0.9524178
secge,5,288.58362,0.1581995,-0.9524178
sel,5,288.58362,0.1581995,-0.9524178
self,5,288.58362,0.1581995,-0.9524178
selfa,5,288.58362,0.1581995,-0.9524178
siððan,5,288.58362,0.1581995,-0.9524178
soðe,5,288.58362,0.1581995,-0.9524178
symle,5,288.58362,0.1581995,-0.9524178
syndon,5,288.58362,0.1581995,-0.9524178
sægde,5,288.58362,0.1581995,-0.9524178
tealde,5,288.58362,0.1581995,-0.9524178
togeanes,5,288.58362,0.1581995,-0.9524178
wat,5,288.58362,0.1581995,-0.9524178
wendon,5,288.58362,0.1581995,-0.9524178
weras,5,288.58362,0.1581995,-0.9524178
werede,5,288.58362,0.1581995,-0.9524178
wes,5,288.58362,0.1581995,-0.9524178
wigend,5,288.58362,0.1581995,-0.9524178
wiges,5,288.58362,0.1581995,-0.9524178
wihstanes,5,288.58362,0.1581995,-0.9524178
wile,5,288.58362,0.1581995,-0.9524178
worda,5,288.58362,0.1581995,-0.9524178
worolde,5,288.58362,0.1581995,-0.9524178
wrecan,5,288.58362,0.1581995,-0.9524178
wunde,5,288.58362,0.1581995,-0.9524178
wyrmes,5,288.58362,0.1581995,-0.9524178
wæpna,5,288.58362,0.1581995,-0.9524178
ymbe,5,288.58362,0.1581995,-0.9524178
yðum,5,288.58362,0.1581995,-0.9524178
ænigne,5,288.58362,0.1581995,-0.9524178
ærgod,5,288.58362,0.1581995,-0.9524178
ætbær,5,288.58362,0.1581995,-0.9524178
ætsomne,5,288.58362,0.1581995,-0.9524178
æþelinga,5,288.58362,0.1581995,-0.9524178
ðeah,5,288.58362,0.1581995,-0.9524178
þenceð,5,288.58362,0.1581995,-0.9524178
þinum,5,288.58362,0.1581995,-0.9524178
þis,5,288.58362,0.1581995,-0.9524178
