Term,RawFrequency,RelativeFrequency,ZScore,ZScoreRatio
butan,1.0,489.71594,-0.23334979,-1.0
byrnhomas,1.0,489.71594,-0.23334979,-1.0
byrnwigena,1.0,489.71594,-0.23334979,-1.0
byrnwiggende,1.0,489.71594,-0.23334979,-1.0
bysmerlice,1.0,489.71594,-0.23334979,-1.0
bælc,1.0,489.71594,-0.23334979,-1.0
bæron,1.0,489.71594,-0.23334979,-1.0
campe,1.0,489.71594,-0.23334979,-1.0
cene,1.0,489.71594,-0.23334979,-1.0
cenra,1.0,489.71594,-0.23334979,-1.0
cirdon,1.0,489.71594,-0.23334979,-1.0
cirman,1.0,489.71594,-0.23334979,-1.0
cneoris,1.0,489.71594,-0.23334979,-1.0
cohhetan,1.0,489.71594,-0.23334979,-1.0
collenferhðe,1.0,489.71594,-0.23334979,-1.0
com,1.0,489.71594,-0.23334979,-1.0
comon,1.0,489.71594,-0.23334979,-1.0
compwige,1.0,489.71594,-0.23334979,-1.0
cumblum,1.0,489.71594,-0.23334979,-1.0
cyning,1.0,489.71594,-0.23334979,-1.0
cyninga,1.0,489.71594,-0.23334979,-1.0
cynna,1.0,489.71594,-0.23334979,-1.0
cynne,1.0,489.71594,-0.23334979,-1.0
cyððe,1.0,489.71594,-0.23334979,-1.0
dead,1.0,489.71594,-0.23334979,-1.0
deman,1.0,489.71594,-0.23334979,-1.0
deofulcunda,1.0,489.71594,-0.23334979,-1.0
deð,1.0,489.71594,-0.23334979,-1.0
dogore,1.0,489.71594,-0.23334979,-1.0
dolhwund,1.0,489.71594,-0.23334979,-1.0
dome,1.0,489.71594,-0.23334979,-1.0
domlice,1.0,489.71594,-0.23334979,-1.0
dorste,1.0,489.71594,-0.23334979,-1.0
dreamas,1.0,489.71594,-0.23334979,-1.0
drencte,1.0,489.71594,-0.23334979,-1.0
drihtne,1.0,489.71594,-0.23334979,-1.0
drugon,1.0,489.71594,-0.23334979,-1.0
dryhtguman,1.0,489.71594,-0.23334979,-1.0
dryhtne,1.0,489.71594,-0.23334979,-1.0
dugeða,1.0,489.71594,-0.23334979,-1.0
duguðe,1.0,489.71594,-0.23334979,-1.0
dune,1.0,489.71594,-0.23334979,-1.0
dynedan,1.0,489.71594,-0.23334979,-1.0
dynede,1.0,489.71594,-0.23334979,-1.0
dyre,1.0,489.71594,-0.23334979,-1.0
dæg,1.0,489.71594,-0.23334979,-1.0
dægeweorce,1.0,489.71594,-0.23334979,-1.0
dægred,1.0,489.71594,-0.23334979,-1.0
e.v.k,1.0,489.71594,-0.23334979,-1.0
eades,1.0,489.71594,-0.23334979,-1.0
eadhreðige,1.0,489.71594,-0.23334979,-1.0
